iter	Passed	Remaining
0	7	7585
1	17	8484
2	22	7540
3	28	7158
4	35	7075
5	42	6961
6	48	6846
7	52	6482
8	55	6146
9	59	5882
10	62	5657
11	66	5469
12	70	5323
13	73	5193
14	77	5079
15	80	4981
16	84	4891
17	88	4838
18	92	4763
19	95	4695
20	98	4580
21	104	4653
22	110	4705
23	114	4646
24	117	4598
25	121	4552
26	125	4508
27	129	4480
28	132	4446
29	136	4405
30	139	4368
31	143	4338
32	146	4306
33	150	4277
34	154	4247
35	157	4222
36	161	4197
37	164	4172
38	168	4147
39	171	4123
40	178	4171
41	183	4195
42	190	4234
43	195	4246
44	199	4223
45	202	4201
46	206	4181
47	209	4160
48	213	4140
49	217	4136
50	224	4175
51	228	4157
52	231	4138
53	235	4119
54	238	4101
55	242	4084
56	245	4066
57	249	4053
58	253	4037
59	256	4022
60	260	4006
61	264	3994
62	267	3980
63	271	3966
64	274	3953
65	278	3941
66	282	3928
67	285	3915
68	289	3902
69	292	3889
70	296	3876
71	299	3864
72	303	3852
73	306	3840
74	310	3829
75	314	3817
76	317	3806
77	321	3795
78	324	3785
79	328	3774
80	331	3763
81	335	3753
82	339	3750
83	343	3742
84	346	3732
85	350	3723
86	353	3713
87	360	3736
88	366	3749
89	372	3765
90	379	3790
91	383	3780
92	386	3771
93	390	3762
94	393	3752
95	397	3743
96	401	3737
97	405	3728
98	408	3719
99	412	3710
100	415	3702
101	418	3680
102	421	3672
103	425	3662
104	428	3654
105	435	3674
106	439	3668
107	443	3659
108	446	3651
109	450	3643
110	453	3635
111	457	3627
112	461	3619
113	464	3611
114	468	3604
115	471	3595
116	475	3587
117	478	3578
118	482	3571
119	485	3562
120	489	3555
121	493	3548
122	496	3540
123	500	3533
124	503	3526
125	507	3519
126	510	3512
127	514	3505
128	518	3497
129	521	3491
130	525	3484
131	528	3477
132	532	3471
133	536	3464
134	539	3457
135	543	3450
136	546	3444
137	550	3437
138	557	3450
139	562	3457
140	568	3464
141	575	3480
142	579	3474
143	585	3480
144	591	3486
145	597	3495
146	603	3502
147	613	3533
148	617	3526
149	621	3519
150	624	3511
151	628	3504
152	631	3497
153	635	3490
154	639	3484
155	642	3477
156	649	3485
157	652	3479
158	656	3473
159	660	3466
160	663	3459
161	667	3451
162	670	3445
163	674	3438
164	678	3431
165	681	3424
166	685	3417
167	688	3411
168	692	3404
169	696	3398
170	699	3391
171	703	3385
172	706	3378
173	710	3372
174	713	3365
175	717	3358
176	721	3352
177	724	3345
178	728	3339
179	731	3332
180	735	3326
181	741	3333
182	747	3337
183	753	3339
184	759	3345
185	765	3351
186	769	3344
187	772	3338
188	776	3332
189	780	3325
190	784	3323
191	788	3317
192	792	3311
193	795	3305
194	799	3299
195	802	3293
196	806	3287
197	810	3281
198	813	3275
199	817	3269
200	821	3264
201	824	3258
202	829	3257
203	835	3260
204	839	3254
205	842	3248
206	846	3242
207	850	3236
208	853	3230
209	857	3224
210	860	3219
211	864	3213
212	868	3207
213	871	3201
214	875	3195
215	878	3189
216	882	3183
217	885	3177
218	890	3174
219	894	3170
220	898	3166
221	902	3163
222	906	3158
223	910	3153
224	914	3148
225	918	3145
226	924	3148
227	930	3150
228	936	3153
229	940	3147
230	944	3144
231	951	3149
232	957	3151
233	962	3149
234	965	3144
235	969	3139
236	973	3134
237	977	3129
238	981	3124
239	985	3119
240	988	3113
241	992	3107
242	996	3103
243	999	3097
244	1003	3091
245	1006	3085
246	1010	3080
247	1016	3083
248	1023	3087
249	1027	3081
250	1031	3076
251	1034	3071
252	1038	3065
